Item			Price  Stock  Reorder
Acrylic-Paint-24pc	9.99	 9	10
Acrylic-Paint-Black	 0.99	11	20
Acrylic-Paint-Blue	 0.99	25	20
Acrylic-Paint-Blue	 0.99	18	20
Acrylic-Paint-Green	 0.99	 6	20
Acrylic-Paint-Indigo	 0.99	33	20
Acrylic-Paint-Orange	 0.99	50	20
Acrylic-Paint-Red	 0.99	33	20
Acrylic-Paint-Violet	 0.99	 9	20
Acrylic-Paint-White	 0.99	 9	20
Acrylic-Paint-Yello	 0.99	 7	20
Brush-Set		19.49	 5	 5
Crayons			 5.99	10	10
Drawing-Art-Set		49.99	22	 5
Easel-Large		99.99	 7	 5
Easel-Medium		79.99	 8	 5
Easel-Small		69.99	 4	 5
Large-Sketch-Pad	12.99	 3	 5
Pastels-Chalk		19.99	 9	 5
Pastels-Oil-Delux	37.99	 3	 5
Pastels-Oil-Starter	17.99	 8	 5
Pastels-Water-Soluable	22.49	 8	 5
Pencil-Graphite-Set	15.99	 4	 5
Pencil-Sketching-Set	 5.99	 8	10
Sidewalk-Chalk		 5.99	 4	10
Small-Sketch-Pad	 7.49	 4	10
